"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","TAXREV","TOT","PC_GDP","A","2017",41.774,
"BEL","TAXREV","TOT","PC_GDP","A","2017",44.598,
"CAN","TAXREV","TOT","PC_GDP","A","2017",32.241,
"CZE","TAXREV","TOT","PC_GDP","A","2017",34.893,
"DNK","TAXREV","TOT","PC_GDP","A","2017",45.982,
"FIN","TAXREV","TOT","PC_GDP","A","2017",43.34,
"FRA","TAXREV","TOT","PC_GDP","A","2017",46.231,
"DEU","TAXREV","TOT","PC_GDP","A","2017",37.544,
"GRC","TAXREV","TOT","PC_GDP","A","2017",39.386,
"HUN","TAXREV","TOT","PC_GDP","A","2017",37.71,
"ISL","TAXREV","TOT","PC_GDP","A","2017",37.687,
"IRL","TAXREV","TOT","PC_GDP","A","2017",22.837,
"ITA","TAXREV","TOT","PC_GDP","A","2017",42.385,
"KOR","TAXREV","TOT","PC_GDP","A","2017",26.9,
"LUX","TAXREV","TOT","PC_GDP","A","2017",38.654,
"MEX","TAXREV","TOT","PC_GDP","A","2017",16.174,
"NLD","TAXREV","TOT","PC_GDP","A","2017",38.752,
"NZL","TAXREV","TOT","PC_GDP","A","2017",31.98,
"NOR","TAXREV","TOT","PC_GDP","A","2017",38.228,
"POL","TAXREV","TOT","PC_GDP","A","2017",33.9,
"PRT","TAXREV","TOT","PC_GDP","A","2017",34.708,
"SVK","TAXREV","TOT","PC_GDP","A","2017",32.9,
"ESP","TAXREV","TOT","PC_GDP","A","2017",33.658,
"SWE","TAXREV","TOT","PC_GDP","A","2017",43.956,
"CHE","TAXREV","TOT","PC_GDP","A","2017",28.456,
"TUR","TAXREV","TOT","PC_GDP","A","2017",24.891,
"GBR","TAXREV","TOT","PC_GDP","A","2017",33.258,
"USA","TAXREV","TOT","PC_GDP","A","2017",27.143,
"CHL","TAXREV","TOT","PC_GDP","A","2017",20.158,
"EST","TAXREV","TOT","PC_GDP","A","2017",32.967,
"ISR","TAXREV","TOT","PC_GDP","A","2017",32.731,
"SVN","TAXREV","TOT","PC_GDP","A","2017",36.021,
"OAVG","TAXREV","TOT","PC_GDP","A","2017",34.192,
"LVA","TAXREV","TOT","PC_GDP","A","2017",30.403,
"LTU","TAXREV","TOT","PC_GDP","A","2017",29.842,
